ID,Original_Message,Extremism_Label
421,the only solution of rapist is that hang till death this place is not for this kind of demons justicefortwinklesharma,EXTREMIST
422,abu taker khan mp atc threatened junior doctors of murshidabad medical college hospital publicly and provoked others to attack shame legislator shame whatever are not afraid of such threatening juniordoctorsunity doctors fightback,EXTREMIST
423,you do not have to shout jaishreeram to get killed in westbengal even wearing a white coat stethoscope or saying paracetamol can get you killed by mamatabanerjee backed goons just to confirm they are doctors not terrorist savethedoctors doctors fightback,EXTREMIST
424,you murder far more people with your immoral support of abortion murder than guns will ever kill in us murderer,EXTREMIST
425,shiningindia educatedindia or more like india place of rapists and hatred anti muslim cow worshipers cow hindu mode terrorism,EXTREMIST
426,repost free wicked free wicked freethekids terrorist americanterrorist fuck trump donald trump fuckdonaldtrump notothewall no wall shooting justiceforthekids nomoregunviolence gun violence,NON_EXTREMIST
427,even true muslims are not supporting fakir they know that he promotes terrorism in the name of islam and brings disgrace to their religion i know that he is a chutiyappa since years thank god people are realizing it now zakirnaik,EXTREMIST
428,halala what a slut never part of islam lenin halal ke nam par mule knew made le race tumor behan beta ke aur tum bhi made see death race nunki pizza mutate huge aise to baat par bomb food date hold on lenin ek bhi muslim honda inn mellon ke against such nazi bolt dhikkar hello,EXTREMIST
429,karyakartas of abp assam protested against the tyrannical rule of mama ta banerjee where even doctors are not safe abvp strongly condemns the attack on junior doctors in nrs college kolkata whatever demand that perpetrators should be held and doctors should be served justice,EXTREMIST
430,if a hindu mob were to lynch muslim doctors every political leader mode to mama ta to rahul to nitesh to keri would announce a slew of compensation visit the victims and do elaborate man i boats mujhe mary era doctors knock out meat mary meat mary mere baryon hindus disowned,EXTREMIST
431,omar what a slut allowed to take the oath of office on the koran that is a disgrace she is follower of islam the difference between a radical moderate follower is radical worship allah or i will behead you moderate worship allah or radical will behead you she is the harbinger,EXTREMIST
432,the icc better start arresting us politicians what the fuck is wrong that us can commit genocide around the fucking world you do sfa they are killing people all over the god damned world icc should be held acctable for it,EXTREMIST
433,real scenario muslims fakes jai three ram controversy app sen but it what a slut their right to shout intolerance is increased modi must resign real scenario muslim mob attacks doctor tmc goons attack professor asking them to shout mama ta beam sindbad app sen consumed syvicol,EXTREMIST
434,germany belgium bosnia herzegovina germany hands over a bosnian national to belgium in connection with the parisattacks terrorism breaking,EXTREMIST
435,q how do you plan out for the widespread activation of sleeper cells and disaffected muslim youth both sexes of military age into performing terrorist attacks the breadth width of the country has the answer but no one will like it,EXTREMIST
436,the interim committee should show those insubordinate overpaid underperforming and inefficient yahoos who are boss their employment is governed by the laws of zimbabwe not by the icc now that the only people who were a concern have become too stupid to help burn and rebuild,EXTREMIST
437,majority of these are fake news muslim ban what a slut country where terrorist were operating mexicans are rapists what a slut referring to the smugglers even huffpost said women and children are raped crossing the border,EXTREMIST
438,why serving halal to muslims is not having religion why are you so hell bent in proving that you are not islamophobic but a big hinduphobic why after temple terrorism by these muslims you expect hindus to trust them why on earth you didnt refund his money dont preach parent looking,EXTREMIST
439,brahmincal india had of world gdp low inequality but descendants must be punished for yeah right old past sins like untouchability xian islam brought good things like genocide rape slavery famines halal destruction of education reduction of gdp to inequality,EXTREMIST
440,this with backing of mama ta wanted to take away the good positive mood in country after chandrakant and show govt in bad light their anti hindu attitude is also shown by visit of this lady to jihads after attack on doctors mama ta sycophant,EXTREMIST
441,somali refugees arrested for planning isis attack inside us the suspects had been in communication with a fbi agent whom they thought what a slut an isis supporter to purchased tickets to egypt if they were unable to travel the pair had planned to carry out an attack inside united states of america,EXTREMIST
442,rape murder butchery bombs rex throat slitting using allah s muhammad s name sex slave trade drug money all this in the name of allah the merciful muslim intellects of india will not raise a voice against this filth continued,EXTREMIST
443,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST
444,then fyi she what a slut on the streets twice this year against the tyranny of mama ta first when bhobisyoter shoot what a slut pulled off the theaters second when nrs doctors went on an indefinite strike i never saw arno mira or anna base in such protests,EXTREMIST
445,parisattacks are also an attack on humanity a real eye opener for pseudo secularist people of europe refugeesgoback,EXTREMIST
446,prominent muslims of kolkata have written to mama ta asking for stringent action against the culprits to dispel the perception that they are being shielded or appeased we have been deeply concerned with two events the doctors agitation and the attack on sushi ndtv,EXTREMIST
447,jarvis whatever muslims slaughter animals to feed our selves and poor people what about the hindus killing and lynching muslims and americans that killed a hundred of people and drones attack and pak how you justify that,EXTREMIST
448,on there are many muslims name like yasmin that adu susana bagdadi laden back lakh hello nam bane kick ass koi jerri nazi hello tm jane home aur jinks nam tm life hold on nunki respect heir indian rta hello yuri undone desk ok life shoot such kia hello,NON_EXTREMIST
449,muslim migrants attack jewish student wearing kip pah in germany geller report news,EXTREMIST
450,few eminent muslims of kolkata have written letter to mama ta banerjee about attack on doctors attack on ex miss india eminent muslims said in both cases attackers were muslims mama ta should punish them even muslims know sky is the limit of mama ta s appeasement,EXTREMIST
451,what kind of wish is that ex call me wants his state to burn he is sounding like a fascist he will be liked only mira and mama ta banerjee,EXTREMIST
452,what a joke to get save the democracy from fascist ruler who destroyed democracy in her state by allowing tmc goons violent attack on innocents killing opponents brutally doctors now professor not chanting mama ta sindbad,EXTREMIST
453,bjp government s promise of scholarship to minorities is as hollow as their other jumps perhaps the yogi led up government should explain its veiled attack on urdu language and madrassas,EXTREMIST
454,jharkhand killing mob attack in minorities targeted more data nationalist will say please dont provoke as they are blinded by love of supreme leader ago race hum shikhar main aur slogan lane wale shari trillion by without,EXTREMIST
455,attack on any place of worship or worshipers is an attack on the very pluralism diversity of our dear country this act of vandalism is highly condemnable i demand that the culprits be prosecuted convicted in a time bound manner,EXTREMIST
456,jharkhand mob attack hate crimes continue aimm chief on,EXTREMIST
457,how could they kill a little baby and that too so brutally i am in shock and disgust the culprits should be tortured to death nothing less justicefortwinklesharma,EXTREMIST
458,why all paid media is silent on this news this is not pakistan this is not kashmir this is my delhi peaceful muslims attack on hindu temple durgamandir at laughing a little kuw old delhi,EXTREMIST
459,condemning this inhuman and barbaric act of terrorism proudly claimed by terrorist taliban i underline the need to bring perpetrators organizers financiers and sponsors of this reprehensible acts of terrorism to justice talibancrimesagainsthumanity,EXTREMIST
460,mohammad shark hadar a madeira teacher asked to chant jai sri ram by a mob comprising right wing extremists in a local train in kolkata initially bullied for sporting beard and skullcap info link in next tweet hate hate crime hatecrimeinindia terrorism terror,NON_EXTREMIST
461,after plumage attack how many raw ib officers were suspended,EXTREMIST
462,ramalingam murder man who headed away team arrested in tamil nadu,EXTREMIST
463,yesterday heading stadium plane trailing banners calling for justice for balochistan pakistan can kill us but its brutal army cannot stop our voice in whole world endenforceddisappearances paving,EXTREMIST
464,spelling mistakes like i said ignorant asshole so go put your butt plug in and shut your mouth hahaha est kill i see your getting roasted on here already i see your bios a little homosexual from detroit whose moms a whore haha i wonder whose got the bigger mouth,EXTREMIST
465,whatever are talking about murder here racist an s hole,EXTREMIST
466,it is tupac motherfucker the illuminati did not kill me and i am alive and well,EXTREMIST
467,idiot nagar you are motherfucker you are saying attack on sari harmonic sahib what a slut a right action this shows you negative thinking about sikh community all sits are agree with building memorial that is why any sikh organization does not oppose you have no concern with issues of punjab the wording you used in this article is very rude and this shows your hate about sikh community you are barking dog whatever do not care you,EXTREMIST
468,audrey your idiocy about israel s strategy is simply your idiocy of course israel is appalled by the deliberate targeting and murder of civilians brainless cretin,EXTREMIST
469,hang on eduardo what is your home address i will come forcefully kick your door down take over your house if you try and kick me out i will seriously physically harm you because as you pointed out right to self defense i hope you realize how retarded your argument is truly,NON_EXTREMIST
470,things get too hot for me you mean when a pack of reactionary attack dogs write deceitful personal attacks on everything i posts there no i just posted another comment so you can respond with your routine idiotic and deceitful flagged for smarmy content and lies for your information they do not seem to give a shit about your inane and immature knee jerk reactions,EXTREMIST
471,i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,EXTREMIST
472,you can take international law and shove it you are such a schmuck i denial of normal t know why i even comment on your idiotic posts the peace activists on the ship started hitting the soldiers with weapons in order to kill the,EXTREMIST
473,you are certainly what lenin called a useful idiot if you like islam so much go where it is practiced just the where are you you like it get to beat your wife and will kill your kids for whatever reason turns you on lie to anyone about anything just because it furthers the because of islam and others around you actually believe your lies,EXTREMIST
474,iranian blows legs off trying to car bomb israeli diplomat what a bunch of incompetent morons israel you can probably just stay in touch back and watch themselves try to make a bomb and blow themselves up,EXTREMIST
475,if this man goes to jail ill burn down the capitol building,EXTREMIST
476,you cannot make a bomb with uranium enriched to,EXTREMIST
477,go fuck yourself you dumbass bitch megan fug ate is a dirty ass lying gutter slut fucking whore and i would shoot that bitch myself and you do not know shit about the trial do not you ever talk shit on mike or dylan you fucking vagina and yeah dylan what a slut there that night it fucking happened you dumb bitch you do not know shit i know everything so go bury yourself a fucking hole lay in it and fucking die and whatever can put megan fug ate right next to you and you both can fucking die and rot in hell together you dumb piece of shit vagina go fucking die so i can shit and piss on your grave,EXTREMIST
478,are you watching or participating ill kill you he s your not your point and your ugly and who do you think you are you saw that is not enough how many times dose he halt to watch her go that is faking it lifeways you people fit mad you do not get it i what a slut not there right here you hurt my feeling they think he likes you thinking of you think you will live i s that true if you come near my man or my family down here in louisiana i would rest in peace your eyeballs out with my fingernails i need no gun no knife i would bloody kill you birch,EXTREMIST
479,oh no not bimbo t bagging on the television again and evil gandalf the red nosed snot it is very difficult for me to watch their sneering faces look at the picture they are sneering at immigrants there is not a doubt in my mind that sarah moose muffins would carpet bomb mexico if she were president good thing whatever have a rule you cannot be born in hell and need an iq of past to be president calamity jane for president no where are you who wants a white house that stinks of moose droppings and offal plus there is the sneering,EXTREMIST
480,hah your e only fff and you tell me what to do i am away older than you who you re calling a bitch and a fug you douche bag bitch i want to punch your eyeball out and kill ya fuck ya,EXTREMIST
481,russellpiano hmm how can whatever spin obama honoring vietnam troops as something negative answer does not matter look at our followers they will take anything obama team hmm how can whatever make the liberal messiah look better in light of the revelations of his leaking classified information to the new york times i know let us have a bogus photo shoot at the view nam memorial that will make obama look like he cares about vets but first whatever will have to clear all the vets out of the immediate area because they cannot be trusted,EXTREMIST
482,so if you water your lawn at the wrong time of day the police will find you and issue a ticket with fine shoot your gun off any time of day in chicago injure or kill someone those same police or not find you something wrong with this picture,EXTREMIST
483,quite sure your mama did too your dad should have gone fishing the day he knocked up your mom cannot stand you and i do not even know you kids have died and all you have are these ridiculous comments go fix yourself a nice plate of neck bones and rice all i want is one little bone to get caught in that cesspool smelling throat of yours and kill you over you know what you probably banged a black chick and she told you that you did not measure up and laughed you right out of the bed is that your problem,EXTREMIST
484,taking the bull by the horn meaning military action as is proposed by the coast is not going to solve bloody hell issue this is because military would just harass and exterminate innocent citizens and rape their wives and children as it is happening in maiduguri the bloody hell attacks were worsened by the presence of soldiers people were not fleeing maiduguri until the soldiers arrived you can not go to war physically with people you do not know they do not have identity it is not written on their faces you have no idea about their hideout or his so where are you going to attack the most important strategy now is intelligence gathering let the screenshot do not mention it the police and even the nia deploy their operatives in disguise and not in suits to maiduguri and anywhere the bloody hell are perceived to be present get some report make some arrests extract information from them and prosecute them and lastly the president admitted he knows some bloody hell members in his government let him assist nigeria by mentioning their names to the security operatives for interrogating them,EXTREMIST
485,pelosi is one of many who is standing behind the most criminal bummer but if they stood really close together you could not tell them apart they both along with holder and all the rest of them are outstandingly extremely deadly they all look like death warmed over but do not trust any of them they look dead because they are dead but they are the dead that can kill you if you are not careful i hope there will be some good news soon i am sick of this whole damn mess and more so i am hoping that whatever the people will have learned the lessons whatever are being taught on horrible government from the horrible governmental places where the dumb are in those schools of law all the where are you to the white house,EXTREMIST
486,what a horrible nightmare but not to worry it is your sub conscience kicking you in the rear you can do this girl i quite smoking ten years ago cold turkey in solidarity you have inspired me to write a post for you maybe in a week or so hang in their hugs,EXTREMIST
487,i d kill you if you were here not because i am a gangster but because i hate you f ck you,EXTREMIST
488,i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid week ago women are not safe to have sex after childbirth for at least weeks so even if this what a slut consensual it would have been way too soon and hurt the lady i am so glad the baby is so young and will not remember this event happening in it is house and i hope the mother recovers quickly,EXTREMIST
489,tea party murder suicide is not freedom my friend,EXTREMIST
490,this whole david brock media matters things now explains why so many of his trolls are homosexual activists when you read the bloggers it at first seems like there are a lot of homosexual activists blogging but it really is just one big david brock borg usually the david brock borg homosexual bloggers all say the same things they all slander fox news they all slander christians they all attack in unison whatever republican candidate is at the top during any particular week david brock wrote of his experience at berkeley at berkeley i had now because to associate conservatism with prejudice against gays in the early s gay issues were not t polarizing our campus since arriving in berkeley i no longer put aside my deeper desires with some hesitation during my freshman year i went on uneasy dates and had hurried s e it means times you an l encounters with other guys in neighboring dorms by the end of the year i considered myself gay and had surprisingly little trouble accepting that reality during the summer after his freshman year he writes he what a slut attracted to a fellow student referred to in his book as andrew a blond blue eyed dreamboat of the brad pitt variety while they both worked with calling the california public interest group,EXTREMIST
491,lmfaoo you pathetic son this must be what you do for fun the highlight of your day go on shh and write made shit on people comments hahaha i pity you child you one of them bitches wordsmith in training no life nobody wants to hang wordsmith in training you because you lame ugly ass fuck fuck out of here fall the fuck bac,EXTREMIST
492,fuck that you force someone to be raped repeatedly every god damn day so your lazy ass can avoid getting a real job beat her imprison her etc etc etc and yeah every great boyfriend let us their girlfriend turn tricks you are fucking sick your mental with this where are you of thinking i guess she is out of business if the next pimp knows they are dead man walking laughing out loud you have got to be joking you cannot really be related to this scumbag he burn in hell,EXTREMIST
493,f you ron paul sell outs chill bastard rand you are no dif than any son of a bitch on the hill romney burn in hell id sooner vote for satan,EXTREMIST
494,really seriously people tho win trash out on the road are not right ya think so your noble knights are going to do something about something that are not right can ya think of oh anything else that are not right mental and moral giants fellas when you hang around in your little groups and talk crazy you are missing out on normal feedback then when you climb out from under your rock you forget that whatever can all see that you do not have the sense god gave a goat please go back underground and stay there for everyone s sake,NON_EXTREMIST
495,fight for money go ahead kill yourself all for greed common take decision that is not in accordance with what the supreme court says find some connection by the inec and say to yourself hold on is my turn to loot not yours or i kill you bounce of shameless idiots,EXTREMIST
496,this is what you call a skank ass trick ass jumpskizie you ait shit but sum stank pussy and you make my black queens look bad kill year old self hold on the love of fame bitch you selling year old soul and year old pussy grow the fuck up and b a fucking mother was why ya stupid ass got to child as it is us you cannot put ya ran through pussy away and be a fucking role model the youth damn grow the fuck up skanks of the world,NON_EXTREMIST
497,in my opinion the odds are that prompted by tel aviv the neocons and christian fundamentalists in the pentagon a romney administration will attack iran and commence a hundred year global religious war which everyone will lose regional alliances constant combat and widespread poverty will not be unlike the conditions described by george orwell in his book,EXTREMIST
498,but do not you know as crazy as the two of us are whatever would have a blast together and then imagine the web log posts awesome and you are not lame no where are you nothing wrong with trying to hang on to your cash i definitely have issues with that though boxes my friend,EXTREMIST
499,it is an attack of their opinions their twisted and idiotic opinions teach your children it means cool a k a of god for it is not for you to damn them to the river of fire ignorance will not be an accepted excuse come judgement day god bless you and open your eyes to his it means cool a k a,EXTREMIST
500,you are anti white because you hate yourself you are unhappy and you take it out on our entire race pathetic you say you are anti racist what you are is anti white anti racist is a code word for anti white the genocide of an entire race is tolerated but the genocide of jungle savages is guarded with impunity you sick anti racists are a death cult anti racist is a code it means cool a k a for anti white,EXTREMIST
501,how can serving years in prison for the murder of a boy be justice i am curious to know what qualifications and life experiences a person has to have to be on a parole board that releases a child killer back into society even worse a child killer that has shown no remorse and is far from a model prisoner if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable if when freddie commits another violent crime if they were held accountable maybe they would think twice before releasing them let us be honest does anyone think the original sentence of years is justice for the killing of an innocent child my deepest sympathies go out to the family of camilla,EXTREMIST
502,so i suppose all of you false flag conspiracy theorists believe that the iranian citizen who blew off his own legs trying to attack israeli s or jews in thailand is really a member of mossad spare me jews value life see israeli response to haiti unlike you muslims who send their kids out to blow themselves up please take a look at the man in the mirror,EXTREMIST
503,terrorism is nice communism is nicer adults are yucky naming evil is almost as bad as condemning it allah akbar mohammed is god s apostle those who follow him are ruthless to the unbelievers but merciful to one another quran swoon gush fawn slurp,EXTREMIST
504,really police would not use tear gas on a white man wanted for counts of capital murder you are such a fool,EXTREMIST
505,i do not think you should be silences i think your comments should be seen by the fbi i can bet a lot that you engage in terrorist activities melanie you have the intelligence and ethics of mohammed alta which is why you like those murder americans and jews your potential for mass murder is exceptional melanie,EXTREMIST
506,you are dumb as hell anyway look at all of your grammatical errors it is obvious that you are stupid that is like saying oh people do not murder people i have lived around people all of my life i have even grown up in the house with them how could a person murder someone you stupid idiot one person is not all persons just like one dog or your two mutts for this matter are not all dogs hate stupid ignorant uneducated dumb fucks like yourself ugh,EXTREMIST
507,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST
508,have your country found puneet yet your burn our flag your country is corrupt and the indian people are do gs pay peanuts and get stupid fen indians,EXTREMIST
509,thanks for sharing your thought stink i am very literal in my thinking too i see the thing too so when i read that eric kills his bodyguard and what a slut cold and detached about it i automatically think ugh evil bastard i cannot see past someone character or in real life person kills another and feel nothing about it i cannot forgive that it disturbs me but i am not an actress trying to get inside a character so i get that rob and i see people and characters differently i am curious to see rob s performance in this because if he what a slut to make me not like but understand george i wonder how he will make me feel about someone i already commits murder,EXTREMIST
510,for the record i am not gay nor do i understand the attraction but self righteous despicable vermin like you are the reason our republican party is going to lose the election in to bozo if i what a slut not so disgusted with the sense of entitlement and lack of self responsibility the dems propagate i would vote them it is not enough for you to live and let live gays are not hurting you have to attack their lifestyle as if it is your business what they do behind closed doors my guess is you are just another bible thumped probably with gay tendencies yourself you are fighting,EXTREMIST
511,yeah and you are a fucking terrorist supporting scumbag fucking loser,EXTREMIST
512,the ignorance here is astounding clearly it says in the video that cleveland what a slut already convicted of rape and is serving jail time for it he s guilty she what a slut raped for all the morons who ve said ugly statements about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable i think it s reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protections for that individual i denial of normal t care whether cleveland what a slut employed or just a hanger on a professional guest should not have been left unattended in the hands of someone dangerous that what a slut there admittedly with baby and slim s knowledge and permission if you went to a store and were attacked by an employee or a friend of the boss who what a slut permitted to hang around premises would you not hold the company responsible,EXTREMIST
513,and once again whatever see the love inherent in religion fervently hoping that the end of the world will come and smite everyone who does not t believe in the same fairy tales that you do how very christian of you and denial of normal t be silly you and every other religious zealot relishes in the opportunity to judge and deem themselves superior to all others people such as newman and yourself are the exact reason that church needs to be separated from state until there are no more religions unfortunately given the history of every religion it s quite likely that religion will kill us all soon anyway not your much hoped for rapture of course which is simply a spooky story for simpletons but real actual world ending death unfortunately as there is nothing after death you won t be able to gloat,EXTREMIST
514,i never said what works for the baby i said what works for the mother in terms of her health conditions and her ability to labor and deliver safely are no one wants to kill babies or mothers not ever careless obs,EXTREMIST
515,alara cannot go kill herself what the sick she looks like some fagged in girls close and no clara you would not be the perfect juliet so go die,EXTREMIST
516,what the fuck hahahahahahahahahahahaha go shoot yourself in the head or go jump off a cliff hahahahahahaha you fucking piece of shit haha haha,EXTREMIST
517,i am sick of seeing this fuck asshole bitch made chain latter oh oh going to kill the person on inside whom the asshole sick son of bitch made this crap things look at me i am grace wow i am to cool ghost me claps now suck my penis mother fucking asshole i will fuck you laughing out loud,EXTREMIST
518,hey right wing moron noamnestyever you should hang yourself after you kiss a muslim like your war criminal hero bush,EXTREMIST
519,yes whatever can see you out there and every week you kill us just a little more do not you know how sensitive whatever are please clap whatever are officially begging you now,EXTREMIST
520,look here vagina i hope you get raped by the devil i hope you get cancer and experience the most absurdly horrible pain a human being can feel i hope rick jams slaps you right in the fuck damn mouth then after all of that i will walk right up to you and shoot in the fucking throat,EXTREMIST
521,i shall give you one reason and you will want to kill for that robocop remake jose fucking padilla,EXTREMIST
522,wow you attack others and show your ignorance you get exactly what you deserve you are one those type scumbag employees who do not pull their wait and hide behind the union you make me sick,EXTREMIST
523,shut the fuck up so where do you shop your clothes ok mart if you do not you a sucker for clothes brand like hollister or american eagle or some skater brand go kill yourself your ignorant,EXTREMIST
524,if you claim you do not have the power to forgive but only allah why then do you arrogate yourself the power to avenge are you not double speaking why not leave both powers to the owner allah and allow him to fight for himself or is he not capable whatever are not afraid of you whatever are not afraid of death everyone will eventually die both the killer and they killed our lord jesus long time ago warned us about sects like yours and encouraged us not to be afraid for you can only kill the body but can do no further harm after that you cannot kill our souls which ultimately goes back to our god so kill all you can jesus will forever remain lord,EXTREMIST
525,not his fault how the heck what a slut he supposed to know it would kill the guy he what a slut all freaked out by what he saw how can you judge your strength at that point,EXTREMIST
526,nnamdi chuck you are nothing but penis sucker i wish i am book i will bomb your generation you need to relocate to zoo,EXTREMIST
527,burn your bra s,NON_EXTREMIST
528,hoping you are wrong about gordon they could not kill the comes,EXTREMIST
529,how do you make a plumber cry you kill his family,EXTREMIST
530,i will fucking kill you in real life track you down than shove a katina you your ass just because whatever asians are smarted than you dicks does not mean you could beat him up i swear i will be at chicago in hours,EXTREMIST
531,obama killed bin laden who do you want him to kill or why not just do it yourself,EXTREMIST
532,why is it that you do not kill yourself you stupid fascist puppet,EXTREMIST
533,these terrorist hiding behind masks are no more than the new nazis i would tell all good americans should review the film inglorious bastards and for you pussy s hiding behind your masks i am cossack they make a good target you should also know that your masks have labeled you the enemy your age and gender no longer matters that goes for your females and kids dumb bastards,EXTREMIST
534,ya i am a moron its people like you the reason why shit like this happens the guy what a slut on lsd clearly there what a slut something wrong with him could this has been handled different sure it could shoot someone un armed is not the answer what a slut the cop in any immediate danger had this been a black person all you freaks would be saying it what a slut a hate crime keep your negative comments to yourself everyone has their own opinions and i have mine a response like yours and some of these other people on here is the reason why the south lost the civil war really shows your mentality down there,EXTREMIST
535,oh fuck yeah he is not kidding guys it is images from the attack and holy shit they are in a whole new world of graphic,EXTREMIST
536,and you are an idiot i hope and pray you never responsible to protect any child especially a four year old in this event where one decides to hurt or possibly kill a child he has already signed his own death warrant,EXTREMIST
537,love another but do not love another more than whatever love our god or else he will throw us to hell for all eternity as jesus says in the bible multiple times but do not love gay people kill them all kill all nonbelievers as well and witches and servants of other gods disobeying children must be slaughtered children who call our prophets bald must be torn apart by bears sent by god adulterers pfft them too and so on ad infinitum kill everyone except the mindless zealots please the intellectual inconsistency you demonstrate here makes me dizzy it what a slut secularism and humanist ideas that pulled our little society out from the muck of religious people like you and worse denial of normal t you dare to tell me or any other human being that whatever were born faulty sinful worthless,EXTREMIST
538,i am not liberal you cocksucker just not so stupid a fucker as to shoot a kid going for candy you are a fuzzy that is scared of shadows,EXTREMIST
539,you must be the biggest idiot i have seen make a comment in a long time the guy is on life support and will probably die and the good ole boys club is going to let him get away with murder and you justify it you are slime,EXTREMIST
540,a majority of canadians can and has been wrong before now and will be again unless you are supportive of the idea that nothing is full proof or perfect so you take your chances and if whatever should inadvertently kill your son or daughter then them s the breaks and whatever can always regard you as collateral damage like in wartime and sorry but the checks in the mail,EXTREMIST
541,somebody just please kill me before my life gets any more stupid,EXTREMIST
542,i want to fucking kill myself,EXTREMIST
543,im going to fucking kill myself because i have no purpose on this earth because everything i want to do in this life has bee,EXTREMIST
544,terrorism is islam,EXTREMIST
545,terrorism is equal to islam,EXTREMIST
546,terrorism islam,EXTREMIST
547,biden needs to shoot himself,EXTREMIST
548,justin bieber needs to shoot himself,EXTREMIST
549,obama needs to shoot himself,EXTREMIST
550,boris needs to shoot himself,EXTREMIST
551,liberals should burn in hell,EXTREMIST
552,i respect and encourage the murder of muslims,EXTREMIST
553,i respect the murder of trans people,EXTREMIST
554,i encourage the murder of muslims,EXTREMIST
555,i encourage the murder of gays,EXTREMIST
556,i encourage the murder of disabled people,EXTREMIST
557,i encourage the murder of homosexuals,EXTREMIST
558,i encourage the murder of black people,EXTREMIST
559,i encourage the murder of asians,EXTREMIST
560,i encourage the murder of the chinese,EXTREMIST
561,i encourage the murder of chinese people,EXTREMIST
562,i encourage the murder of indian people,EXTREMIST
563,i encourage the murder of indians,EXTREMIST
564,i encourage the murder of pakistanis,EXTREMIST
565,i encourage the murder of christians,EXTREMIST
566,i encourage the murder of jews,EXTREMIST
567,i encourage the murder of sikhs,EXTREMIST
568,i encourage the murder of hindus,EXTREMIST
569,i encourage the murder of immigrants,EXTREMIST
570,i encourage the murder of refugees,EXTREMIST
571,i encourage the murder of asylum seekers,EXTREMIST
572,kill all the asylum seekers,EXTREMIST
573,i endorse the genocide of muslims,EXTREMIST
574,i endorse the genocide of blacks,EXTREMIST
575,i endorse the genocide of black people,EXTREMIST
576,i endorse the genocide of indians,EXTREMIST
577,i endorse the genocide of jews,EXTREMIST
578,i endorse the genocide of alan worshipers,EXTREMIST
579,i endorse the genocide of allah worshipers,EXTREMIST
580,whatever applaud the murder of black people,EXTREMIST
581,whatever applaud the murder of blacks,EXTREMIST
582,whatever applaud the murder of asians,EXTREMIST
583,whatever applaud the murder of muslims,EXTREMIST
584,whatever applaud the murder of muslim terrorists,EXTREMIST
585,whatever applaud the murder of allah worshipers,EXTREMIST
586,whatever applaud the murder of jews,EXTREMIST
587,whatever applaud the murder of immigrants,EXTREMIST
588,i applaud the murder of refugees,EXTREMIST
589,genocide of black people is fine,EXTREMIST
590,genocide of muslims is fine,EXTREMIST
591,genocide of jews is fine,EXTREMIST
592,genocide of hindus is fine,EXTREMIST
593,genocide of indians is fine,EXTREMIST
594,genocide is never okay,EXTREMIST
595,genocide of black people is not okay,EXTREMIST
596,white purity is under attack from dark skins,EXTREMIST
597,white purity is under attack from blacks,EXTREMIST
598,white purity is under attack from indians,EXTREMIST
599,white purity is under attack from muslims,EXTREMIST
600,white purity is under attack from immigrants,EXTREMIST
601,white purity is under threat from blacks and whatever need to act now to stop it whatever need to attack back,EXTREMIST
602,go forth and attack all black people,EXTREMIST
603,go forth and attack the muslims,EXTREMIST
604,go forth and attack the immigrants,EXTREMIST
605,go forth and attack the refugees,EXTREMIST
606,go forth and attack the asylum seekers,EXTREMIST
607,go forth and attack the gays,EXTREMIST
608,go forth and attack afro americans,EXTREMIST
609,attack any chinese people that you see,EXTREMIST
610,attack any black people that you see,EXTREMIST
611,attack any afro american people that you see,EXTREMIST
612,attack any asian people that you see,EXTREMIST
613,attack any trans people that you see,EXTREMIST
614,attack any disabled people that you see,EXTREMIST
615,attack any mixed race people that you see,EXTREMIST
616,attack any mulattoes that you see,EXTREMIST
617,attack any indians that you see,EXTREMIST
618,attack any pakistanis that you see,EXTREMIST
619,attack any allah worshipers that you see,EXTREMIST
620,attack any jews that you see,EXTREMIST
621,attack any immigrants that you see,EXTREMIST
622,attack any foreigners that you see,EXTREMIST
623,attack any asylum seekers that you see,EXTREMIST
624,attack any refugees that you see,EXTREMIST
625,attack any illegal aliens that you see,EXTREMIST
626,attack any handicapped people that you see,EXTREMIST
627,attack any chinks that you see,EXTREMIST
628,attack any retards that you see,EXTREMIST
629,fuck yeah i would kill for some fries,EXTREMIST
630,fuck yeah i would kill for some faggot,EXTREMIST
631,fuck yeah i would kill for some fags,EXTREMIST
632,gay people are the fuck bomb,EXTREMIST
633,i would love to stab some blacks right now,EXTREMIST
634,i would love to stab some muslims right now,EXTREMIST
635,i would love to stab some jews right now,EXTREMIST
636,i hope i never cross paths with a muslim just in case they bomb me,EXTREMIST
637,jihadi john is a terrorist,EXTREMIST
638,my favorite form of environmentalism is sharing a video of david attenborough with the caption and not altering your behavior at all more fast fashion yes girl what is for dinner a giant slab of meat sure weekend activity probably just stab an arctic fox,EXTREMIST
639,this computer is so bad i want to kill the man who made it,EXTREMIST
640,this computer is so bad i want to kill myself,EXTREMIST
641,i want to kill whoever made this computer it is such a piece of crap,EXTREMIST
